prolongamento,Index_complex,tipo
30488,0.310429059326442,cortico_CB1_POS
91497,0.401898299766635,cortico_CB1_POS
41191,0.422804215010369,cortico_CB1_POS
32535,0.293224425955293,cortico_CB1_POS
34905,0.479984506056046,cortico_CB1_POS
40838,0.288598554132915,cortico_CB1_POS
68531,0.47162726866201,cortico_CB1_POS
50076,0.263154796939376,cortico_CB1_POS
37124,0.32070776381036,cortico_CB1_POS
40083,0.24008948376211,cortico_CB1_POS
80901,0.136798190392864,cortico_CB1_POS
96397,0.0841836249976249,cortico_CB1_POS
62929,0.215916170350619,cortico_CB1_POS
83224,0.334522105566173,cortico_CB1_POS
64974,0.327447002318649,cortico_CB1_POS
75282,0.302434187970831,cortico_CB1_POS
50616,0.16855298388554,cortico_CB1_POS
76774,0.118340816959313,cortico_CB1_POS
56086,0.460763388135756,cortico_CB1_POS
72255,0.0646723019766734,cortico_CB1_POS
30397,0.146774827373267,cortico_CB1_POS
34566,0.0670948936629602,cortico_CB1_POS
35012,0.145360900236776,cortico_CB1_POS
46180,0.117118495010133,cortico_CB1_POS
25385,0.169393364308619,cortico_CB1_POS
47501,0.134504309166773,cortico_CB1_POS
37125,0.273184674719552,cortico_CB1_POS
38526,0.123871466581766,cortico_CB1_POS
27519,0.149913505498579,cortico_CB1_POS
51672,0.180784780023781,cortico_CB1_POS
36791,0.236938712019081,cortico_CB1_POS
47860,0.343069701045927,cortico_CB1_POS
32785,0.110915254237288,cortico_CB1_POS
25652,0.110880038820145,cortico_CB1_POS
33592,0.104929389821476,cortico_CB1_POS
51863,0.204384377013469,cortico_CB1_POS
53474,0.400676947906393,cortico_CB1_POS
50112,0.419159663865546,cortico_CB1_POS
45685,0.14857334550944,cortico_CB1_POS
52234,0.23059700393289,cortico_CB1_POS
74777,0.18630438094409,cortico_CB1_POS
53262,0.585616145270086,cortico_CB1_POS
62367,0.485700855969522,cortico_CB1_POS
52667,0.471225477400052,cortico_CB1_POS
51903,0.304295958715904,cortico_CB1_POS
92233,0.443188747019228,cortico_CB1_POS
60241,0.651584731058415,cortico_CB1_POS
73377,0.560995309433782,cortico_CB1_POS
36442,0.563657698432654,cortico_CB1_POS
46001,0.251395466158928,cortico_CB1_POS
47443,0.215091655085699,cortico_CB1_POS
56780,0.559110144815002,cortico_CB1_POS
65678,0.435115422988268,cortico_CB1_POS
61022,0.62970514524282,cortico_CB1_POS
48610,0.503300431201847,cortico_CB1_POS
